,,,,,,
,,,,,,
,,,,,,
,Color space & intensity transformation,validation,,,Test,
,,Manual 3 class meanIOU,The manual single class IoU,,Manual 3 class meanIOU,The manual single class IoU
,HSV,0.88,0.65,,0.87,0.65
,RGB,0.82,0.25,,0.82,0.32
,YCrCb,0.81,0.44,,0.8,0.45
,HSV & Clahe,0.57,0.7,,0.56,0.69
,HSV & HistEq,0.83,0.56,,0.8,0.57
,HSV & GommaCor ,0.88,0.72,,0.86,0.66
,RGB & Clahe,0.49,0.1,,0.47,0.14
,RGB & HistEq,0.83,0.43,,0.82,0.43
,RGB & GommaCor,0.87,0.46,,0.86,0.48
,YCrCb & Clahe,0.88,0.63,,0.87,0.59
,YCrCb & HistEq,0.85,0.59,,0.85,0.6
,YCrCb & GommaCor,0.85,0.52,,0.85,0.51
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,, ,,,,
